"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4353511157499","11.8057064558674","12.1675024726714","12.533893472752","12.9167781597719","13.3510348219719","13.8658036668615","14.3486577203791","14.7643516418935","15.2261593962214","15.6259778050932","16.128484925149","16.5598193199519","16.9360037114045","17.3378961327937","17.6870925017936","18.1409707857359","18.4913438878009","18.825520472806","19.2722115435265","19.6280086255973","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20000000000001","7.2","8.2","9.5","10.9","12.2","13.85","15.3","16.7","18.4","20","21.8","23","24.8","26.1","27.4","28.6","29.7","30.9","31.9","33.2","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.10218901258608","5.23468283258044","5.32632352653156","5.52323617515115","5.66974518607504","5.85632919965446","6.09064047083911","6.34471995768652","6.58314512907089","6.86664967074953","7.21752491733966","7.54878662262562","7.96656646491188","8.4797069028055","9.03640335551679","9.75782061067563","10.6360886106433","11.6221099221221","12.6960352371064","13.8741757956123","14.9489839148472","",
"Angola","AGO","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1","41.7","41.7","42","41.9","42.6","42.9","43.5","43.6","43.8","44.3","44.8","45.2","45.8","46.5","47.2","47.8","48.4","49.1","49.5","50.2","",
"Albania","ALB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2","40.5","43.2","46.4","49","51.9","54.8","58.1","60.8","63.6","66.5","68.9","71.3","73.15","74.6","76.2","77.8","78.7","79.8","80.7","81.3","",
"Andorra","AND","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.318754844293","76.654479597855","77.8554845831487","79.0455453644645","80.0341663474852","81.0257679682313","81.9658148981071","82.7871891677553","83.4757331755123","84.1574234762559","84.683344267044","85.1927422830313","85.6442178736525","85.9325668923006","86.2323839036625","86.4785972446623","86.7226851698721","86.9379329026332","87.0407737328279","87.2355388850014","87.307067521291","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95.6","96.1","96.45","97.2","97.5","98.1","98.3","98.6","98.9","99.1","99.3","99.5","99.6","99.7","99.7","99.8","99.8","99.8","99.9","99.9","",
